Section;Type;Alerte ou signal;Apparaît quand;Disparaît quand;Données nécessaires;Seuil exact
Alerte;fatigue / plateau;Recommandation de décharge (Repos 10-14 j · Décharge 7 j · Décharge ciblée · Semaine légère);Le score de décharge atteint 30. En dessous de 30 : « Continuer », aucune alerte. 30-49 → Semaine légère (−20 % volume). 30+ avec signaux LOCALISÉS dominants → Décharge ciblée sur les muscles concernés (−40 % sur eux seuls). 50-74 → Décharge 7 jours (−40 % partout). 75+ → Repos 10-14 jours.;Le score repasse sous 30. Il baisse quand la fatigue déclarée redescend, quand les performances repartent, et quand une décharge est effectuée.;Séances complétées avec fatigue globale renseignée · check-ins · séries enregistrées · programme;score ≥ 30 / 50 / 75
Alerte;plateau;Fatigue faible sur 3 séances — sous-stimulation;Les 3 dernières séances complétées ont toutes une fatigue globale ≤ 2/5.;Dès qu'une des 3 dernières séances dépasse 2/5.;Au moins 3 séances complétées avec fatigue renseignée;fatigue ≤ 2 sur 3 séances consécutives
Alerte;plateau;Phase MRV déconseillée pour un débutant;Profil débutant ET le programme est arrivé en phase MRV (dernier quart du cycle).;Le niveau passe à intermédiaire, ou le cycle repart (retour en MEV).;Niveau du profil · position dans le mésocycle;niveau = débutant ET phase = MRV
Alerte;plateau;Régression de performance — rester en phase actuelle;Régression détectée ET le programme n'est pas en phase MEV. Régression = sur au moins 40 % des exercices suivis, le volume moyen (charge × répétitions) de la seconde moitié des séries est inférieur de plus de 5 % à celui de la première.;Les performances remontent au-dessus du seuil de −5 %, ou le cycle revient en MEV.;Au moins 4 séries enregistrées, et au moins 4 par exercice comparé;baisse > 5 % sur ≥ 40 % des exercices
Alerte;plateau;Fatigue trop élevée pour passer en MRV;Fatigue moyenne ≥ 4/5 sur les 4 dernières séances complétées, alors que le programme est en phase MAV.;La moyenne repasse sous 4/5, ou la phase change.;Au moins 1 séance complétée avec fatigue renseignée;moyenne ≥ 4/5 ET phase = MAV
Alerte;imbalance;Conflits SRA — récupération insuffisante;Deux séances complétées consécutives touchent la même zone avec un écart plus court que la fenêtre de récupération : 72 h en force, 48 h en hypertrophie, 24 h en endurance, 48 h en mixte. UNE seule violation suffit à déclencher l'alerte.;Aucune paire de séances complétées consécutives ne se chevauche plus. L'alerte porte sur l'HISTORIQUE : elle ne part que si les séances fautives sortent de la fenêtre observée.;Séances complétées avec leurs zones actives et leurs dates;écart < 72 h / 48 h / 24 h selon le type
Alerte;structural_plateau;Blocage structurel — stagnation sans fatigue;Quatre conditions ENSEMBLE : au moins 12 séries enregistrées · stagnation ou régression des performances · au-delà de la semaine 3 du cycle · fatigue moyenne < 3,5/5 sur les 4 dernières séances. Autrement dit : ça ne progresse plus ALORS QUE la fatigue est basse — ce n'est donc pas un problème de récupération. La confiance monte si une décharge récente n'a rien changé.;Les performances repartent, ou la fatigue remonte au-dessus de 3,5 (le blocage est alors attribué à la fatigue, pas à la structure).;Au moins 12 séries enregistrées · séances complétées · programme;≥ 12 séries ET semaine > 3 ET fatigue < 3,5
Alerte;missed;N séances non complétées — adhérence à surveiller;Au moins 2 séances encore au statut « planifiée » dont la date est passée. Le compte est cumulatif : il ne se limite pas à la semaine en cours.;Les séances en retard sont complétées, ou supprimées (une régénération les efface).;Séances planifiées avec une date;≥ 2 séances en retard
Alerte;cycle_end;Ton cycle se termine — repartir sur 4 semaines ?;La dernière séance planifiée tombe dans les 7 jours (aujourd'hui compris). Ne concerne pas les programmes en boucle, qui se prolongent automatiquement.;Un nouveau cycle est généré, ou de nouvelles séances repoussent la dernière date au-delà de 7 jours.;Séances planifiées · programme actif;dernière séance dans 0 à 7 jours
Signal de décharge;Systémique;8 semaines et plus sans décharge;position dans le mésocycle;;;+30
