Muscle,Exercice à remplacer,Type,Occurrences,Niveaux,Matériel exigé,OK si street complet,Alternatives déjà faisables (même muscle),SUBSTITUTION (à remplir),Remarque
Biceps,Curl aux anneaux,iso,129,déb. inter. avancé,Anneaux de gymnaste,oui,AUCUNE  exercice à créer,curl avec sac,"en gros tu prend un sac banal, tu prend par la poigné e et tu le remplie comme tu veux pour faire tes répétition en supination"
Biceps,Curl élastique,iso,16,déb. avancé,Élastiques de résistance,oui,AUCUNE  exercice à créer,curl avec sac,"en gros tu prend un sac banal, tu prend par la poigné e et tu le remplie comme tu veux pour faire tes répétition en supination "
Biceps,Curl marteau,iso,14,avancé,Haltères,non,AUCUNE  exercice à créer,curl marteau avec sac,"en gros tu prend un sac banal, tu prend par la poigné e et tu le remplie comme tu veux pour faire tes répétition en neutre (prise marteau"
Dos,Tirage poulie bras tendus,iso,111,déb. inter. avancé,Câble poulie haute,non,Traction pronation (inter. avancé) · Traction supination (chin-up) (inter. avancé),Pullover sac à dos,"Pour cibler au maximum les grands dorsaux sur le pullover :
Banc dans le sens de la longueur (tout le dos posé).
Bras légèrement fléchis (15-20°) et garde cet angle tout le long.
Descends jusqu'à sentir un gros étirement dans les dorsaux, sans chercher à étirer excessivement les épaules.
Pense à ramener les coudes vers les hanches, pas à pousser avec les bras.
Gaine le tronc et évite de cambrer fortement.
Arrête la montée quand les bras sont au-dessus de la poitrine ; inutile d'aller plus haut.
Avec un sac dans chaque bras.
Pas besoin de banc : un lit ou une chaise font l'affaire (donc aucun matériel exigé)."
Dos,Rowing TRX,poly,14,avancé,Sangles TRX,oui,Traction pronation (inter. avancé) · Traction supination (chin-up) (inter. avancé),tirage bucheron avec sac,"prend un sac par la poignée, on charge comme on veut et hop ça part, on peut se poser sur une chaise "
Fessiers,Hip thrust barre,poly,129,déb. inter. avancé,Barre olympique + Banc plat,non,Pont fessier au sol (déb.),ponty fessier au sol avec sac ou unilatéral,le sac avec du poid au niveau des hacnhes je crois
Ischio-jambiers,Good morning,poly,53,déb. inter. avancé,Barre olympique,non,Nordic curl (inter. avancé),good morning avec sac ,le sac a la place de la barre et pareil on charge commme voulu
Mollets,Mollets lestés une jambe,iso,96,déb. inter. avancé,Gilet lesté,oui,Mollets unilatéraux poids du corps (déb. inter.),molet unilatérale lesté avec sac a dos ,sac a dos sur le dos lesté
Pectoraux,Écarté poulie,iso,113,déb. inter. avancé,Station câbles double,non,Pompe (déb. inter.) · Dips (poitrine) (inter. avancé),pompe large ,connais pas le nom mais on se rapporche de l exo en focus des pecs je trouve
Pectoraux,Dips lestés aux barres parallèles,poly,76,déb. inter. avancé,Barres parallèles + Ceinture de lest,oui,Pompe (déb. inter.) · Dips (poitrine) (inter. avancé),dips entre 2 chaises,on peut augmenter la difficulté en eloignat le plus possible ses pied et ou les surelvé et aussi mettre un sac a dos et ettre des trucs dedans
Pectoraux,Pompe pieds surélevés,poly,13,avancé,Banc plat  OU  Banc réglable,non,Pompe (déb. inter.) · Dips (poitrine) (inter. avancé),pompe pieds surélevé,pareil mais tu prend une chaise c est facile
Quadriceps,Fente bulgare haltères,poly,76,déb. inter. avancé,Haltères + Banc réglable  OU  Haltères + Banc plat,non,Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.),fentes bulgare ,avec sac a dos sur le dos pour ajouté du poids
Quadriceps,Fente marchée haltères,poly,15,déb. avancé,Haltères,non,Squat au poids du corps (déb.) · Sissy squat (déb. inter. avancé) · Pistol squat (avancé) · Burpees (déb. inter. avancé) · Wall sit (déb. inter. avancé) · Fentes alternées (déb. inter.),fentes marché,remplie un sac a dos et tu le met sur ton dos et c est pareil
Triceps,Dips triceps machine,poly,76,déb. inter. avancé,Dips triceps machine,non,Pompe diamant (déb. inter.),dips entre 2 chaises,on peut augmenter la difficulté en eloignat le plus possible ses pied et ou les surelvé et aussi mettre un sac a dos et ettre des trucs dedans
Triceps,Extension triceps élastique,iso,28,déb. avancé,Élastiques de résistance,oui,Pompe diamant (déb. inter.),extension triceps sac ,pareil on remplie un sac pour le mettre derriere la tete et on fait des extension
Épaules,Élévations latérales haltères,iso,15,déb. avancé,Haltères,non,Pompes piquées (déb. inter.),élévation latéral,"bouteille d eau, sac a dos "
Épaules,Oiseau haltères (deltoïde postérieur),iso,13,avancé,Haltères,non,Pompes piquées (déb. inter.),oiseau,bouteille d eau sac a dos
